"","X","Parasite","Host"
"57",57,"Centrorhynchus conspectus","Neovison vison"
"58",58,"Chabertia ovina","Bison bison"
"59",59,"Cooperia oncophora","Odocoileus hemionus"
"60",60,"Cooperia oncophora","Bison bison"
"61",61,"Cooperia oncophora","Antilocapra americana"
"62",62,"Cooperia oncophora","Odocoileus virginianus"
"63",63,"Cooperia oncophora","Ovis canadensis"
"64",64,"Cooperia oncophora","Cervus elaphus"
"65",65,"Cooperia punctata","Odocoileus virginianus"
"66",66,"Corynosoma strumosum","Neovison vison"
"67",67,"Crenosoma vulpis","Vulpes vulpes"
"68",68,"Crenosoma vulpis","Ursus americanus"
"69",69,"Crenosoma vulpis","Vulpes lagopus"
"70",70,"Cryptocotyle lingua","Canis lupus"
"71",71,"Cryptocotyle lingua","Vulpes vulpes"
"72",72,"Cryptocotyle lingua","Ursus americanus"
"73",73,"Cylicospirura felineus","Lynx rufus"
"74",74,"Cylicospirura felineus","Puma concolor"
"75",75,"Cylicospirura felineus","Lynx canadensis"
"76",76,"Cylicospirura subaequalis","Puma concolor"
"77",77,"Cylicospirura subaequalis","Lynx rufus"
"78",78,"Dictyocaulus eckerti","Odocoileus hemionus"
"79",79,"Dictyocaulus eckerti","Ovibos moschatus"
"80",80,"Dictyocaulus eckerti","Alces alces"
"81",81,"Dictyocaulus eckerti","Rangifer tarandus"
"82",82,"Dictyocaulus filaria","Odocoileus hemionus"
"83",83,"Dictyocaulus filaria","Ovis canadensis"
"84",84,"Dirofilaria immitis","Procyon lotor"
"85",85,"Dirofilaria immitis","Canis latrans"
"86",86,"Dirofilaria immitis","Ursus americanus"
"87",87,"Dirofilaria immitis","Urocyon cinereoargenteus"
"88",88,"Dirofilaria immitis","Vulpes vulpes"
"89",89,"Dirofilaria immitis","Neovison vison"
"90",90,"Dirofilaria immitis","Leopardus pardalis"
"91",91,"Dirofilaria ursi","Ursus americanus"
"92",92,"Dirofilaria ursi","Ursus arctos"
"93",93,"Dracunculus insignis","Procyon lotor"
"94",94,"Dracunculus insignis","Lontra canadensis"
"95",95,"Dracunculus insignis","Neovison vison"
"96",96,"Dracunculus insignis","Mephitis mephitis"
"97",97,"Dracunculus insignis","Martes americana"
"98",98,"Dracunculus insignis","Ondatra zibethicus"
"99",99,"Echinococcus granulosus","Rangifer tarandus"
"100",100,"Echinococcus granulosus","Canis lupus"
"101",101,"Echinococcus granulosus","Alces alces"
"102",102,"Echinococcus granulosus","Alces alces"
"103",103,"Echinococcus granulosus","Canis latrans"
"104",104,"Echinococcus granulosus","Odocoileus virginianus"
"105",105,"Echinococcus multilocularis","Vulpes lagopus"
"106",106,"Echinococcus multilocularis","Microtus oeconomus"
"107",107,"Echinococcus multilocularis","Vulpes lagopus"
"108",108,"Echinococcus multilocularis","Vulpes vulpes"
"109",109,"Echinococcus multilocularis","Canis latrans"
"110",110,"Echinococcus multilocularis","Rangifer tarandus"
"111",111,"Echinococcus multilocularis","Peromyscus maniculatus"
"112",112,"Echinococcus multilocularis","Myodes rutilus"
"113",113,"Echinococcus multilocularis","Canis lupus"
"114",114,"Echinococcus multilocularis","Microtus pennsylvanicus"
"115",115,"Echinococcus multilocularis","Ondatra zibethicus"
"116",116,"Echinococcus multilocularis","Urocitellus parryii"
"117",117,"Echinococcus oligarthrus","Lynx rufus"
"118",118,"Eucoleus aerophilus","Vulpes vulpes"
"119",119,"Eucoleus aerophilus","Lynx canadensis"
"120",120,"Eucoleus aerophilus","Martes americana"
"121",121,"Euparyphium melis","Neovison vison"
"122",122,"Euparyphium melis","Lontra canadensis"
"123",123,"Fasciola hepatica","Bison bison"
"124",124,"Fasciola hepatica","Odocoileus hemionus"
"125",125,"Fasciola hepatica","Urocyon cinereoargenteus"
"126",126,"Fasciola hepatica","Lepus americanus"
"127",127,"Fasciola hepatica","Castor canadensis"
"128",128,"Fasciola hepatica","Odocoileus virginianus"
"129",129,"Fasciola hepatica","Antilocapra americana"
"130",130,"Fascioloides magna","Odocoileus virginianus"
"131",131,"Fascioloides magna","Bison bison"
"132",132,"Fascioloides magna","Sylvilagus floridanus"
"133",133,"Fascioloides magna","Alces alces"
"134",134,"Fascioloides magna","Odocoileus hemionus"
"135",135,"Fascioloides magna","Cervus elaphus"
"136",136,"Fascioloides magna","Rangifer tarandus"
"137",137,"Fascioloides magna","Alces alces"
"138",138,"Gnathostoma spinigerum","Procyon lotor"
"139",139,"Gnathostoma spinigerum","Neovison vison"
"140",140,"Gongylonema pulchrum","Odocoileus virginianus"
"141",141,"Gongylonema pulchrum","Odocoileus hemionus"
"142",142,"Gongylonema pulchrum","Castor canadensis"
"143",143,"Gongylonema pulchrum","Ursus americanus"
"144",144,"Gongylonema pulchrum","Procyon lotor"
"145",145,"Gongylonema pulchrum","Sciurus niger"
"146",146,"Gongylonema pulchrum","Sylvilagus floridanus"
"147",147,"Gongylonema pulchrum","Cervus elaphus"
"148",148,"Gongylonema pulchrum","Sciurus carolinensis"
"149",149,"Heterobilharzia americana","Procyon lotor"
"150",150,"Heterobilharzia americana","Castor canadensis"
"151",151,"Hydatigera taeniaeformis","Sigmodon hispidus"
"152",152,"Hymenolepis diminuta","Geomys bursarius"
"153",153,"Hymenolepis diminuta","Sigmodon hispidus"
"154",154,"Hymenolepis diminuta","Tamias striatus"
"155",155,"Hymenolepis diminuta","Peromyscus leucopus"
"156",156,"Hymenolepis diminuta","Sciurus carolinensis"
"157",157,"Hymenolepis nana","Peromyscus gossypinus"
"158",158,"Hymenolepis nana","Erethizon dorsatum"
"159",159,"Macracanthorhynchus ingens","Procyon lotor"
"160",160,"Macracanthorhynchus ingens","Ursus americanus"
"161",161,"Macracanthorhynchus ingens","Didelphis virginiana"
"162",162,"Macracanthorhynchus ingens","Lynx rufus"
"163",163,"Macracanthorhynchus ingens","Spilogale gracilis"
"164",164,"Macracanthorhynchus ingens","Neovison vison"
"165",165,"Macracanthorhynchus ingens","Mephitis mephitis"
"166",166,"Mesocestoides corti","Lynx rufus"
"167",167,"Mesocestoides lineatus","Canis latrans"
"168",168,"Mesocestoides lineatus","Gulo gulo"
"169",169,"Mesocestoides lineatus","Puma concolor"
"170",170,"Mesocestoides lineatus","Procyon lotor"
"171",171,"Mesocestoides lineatus","Vulpes lagopus"
"172",172,"Mesocestoides lineatus","Martes americana"
"173",173,"Mesocestoides lineatus","Vulpes vulpes"
"174",174,"Mesocestoides lineatus","Didelphis virginiana"
"175",175,"Mesocestoides lineatus","Neovison vison"
"176",176,"Mesocestoides lineatus","Urocyon cinereoargenteus"
"177",177,"Mesocestoides lineatus","Mustela erminea"
"178",178,"Moniezia benedeni","Odocoileus virginianus"
"179",179,"Moniezia benedeni","Odocoileus hemionus"
"180",180,"Moniezia benedeni","Alces alces"
"181",181,"Moniezia benedeni","Cervus elaphus"
"182",182,"Moniezia benedeni","Antilocapra americana"
"183",183,"Moniezia benedeni","Ovis canadensis"
"184",184,"Moniezia benedeni","Bison bison"
"185",185,"Moniezia expansa","Odocoileus hemionus"
"186",186,"Moniezia expansa","Alces alces"
"187",187,"Moniezia expansa","Antilocapra americana"
"188",188,"Moniliformis moniliformis","Urocyon cinereoargenteus"
"189",189,"Moniliformis moniliformis","Scalopus aquaticus"
"190",190,"Moniliformis moniliformis","Peromyscus maniculatus"
"191",191,"Mosgovoyia pectinata","Lepus californicus"
"192",192,"Mosgovoyia pectinata","Sylvilagus floridanus"
"193",193,"Muellerius capillaris","Ovis canadensis"
"194",194,"Nanophyetus salmincola","Procyon lotor"
"195",195,"Nanophyetus salmincola","Canis latrans"
"196",196,"Nematodirus filicollis","Cervus elaphus"
"197",197,"Nematodirus filicollis","Odocoileus hemionus"
"198",198,"Nematodirus filicollis","Ovis canadensis"
"199",199,"Nematodirus spathiger","Ovis canadensis"
"200",200,"Nematodirus spathiger","Ovis dalli"
"201",201,"Nematodirus spathiger","Antilocapra americana"
"202",202,"Oesophagostomum venulosum","Odocoileus virginianus"
"203",203,"Oesophagostomum venulosum","Odocoileus hemionus"
"204",204,"Oesophagostomum venulosum","Oreamnos americanus"
"205",205,"Oesophagostomum venulosum","Cervus elaphus"
"206",206,"Oesophagostomum venulosum","Rangifer tarandus"
"207",207,"Oesophagostomum venulosum","Alces alces"
"208",208,"Onchocerca cervipedis","Odocoileus hemionus"
"209",209,"Onchocerca cervipedis","Alces alces"
"210",210,"Onchocerca cervipedis","Odocoileus virginianus"
"211",211,"Onchocerca cervipedis","Alces alces"
"212",212,"Onchocerca cervipedis","Rangifer tarandus"
"213",213,"Oslerus osleri","Canis latrans"
"214",214,"Oslerus osleri","Canis lupus"
"215",215,"Ostertagia dikmansi","Odocoileus virginianus"
"216",216,"Ostertagia leptospicularis","Odocoileus hemionus"
"217",217,"Ostertagia leptospicularis","Rangifer tarandus"
"218",218,"Ostertagia leptospicularis","Cervus elaphus"
"219",219,"Ostertagia lyrata","Ovis canadensis"
"220",220,"Ostertagia ostertagi","Antilocapra americana"
"221",221,"Ostertagia ostertagi","Odocoileus virginianus"
"222",222,"Ostertagia ostertagi","Bison bison"
"223",223,"Ostertagia ostertagi","Odocoileus hemionus"
"224",224,"Ostertagia ostertagi","Ovis canadensis"
"225",225,"Ostertagia ostertagi","Oreamnos americanus"
"226",226,"Ostertagia ostertagi","Ovis dalli"
"227",227,"Paragonimus kellicotti","Neovison vison"
"228",228,"Paragonimus kellicotti","Procyon lotor"
"229",229,"Paragonimus kellicotti","Lynx rufus"
"230",230,"Paragonimus kellicotti","Didelphis virginiana"
"231",231,"Parascaris equorum","Odocoileus virginianus"
"232",232,"Parelaphostrongylus andersoni","Odocoileus virginianus"
"233",233,"Parelaphostrongylus andersoni","Odocoileus hemionus"
"234",234,"Parelaphostrongylus andersoni","Rangifer tarandus"
"235",235,"Parelaphostrongylus tenuis","Odocoileus virginianus"
"236",236,"Parelaphostrongylus tenuis","Odocoileus hemionus"
"237",237,"Parelaphostrongylus tenuis","Cervus elaphus"
"238",238,"Parelaphostrongylus tenuis","Alces alces"
"239",239,"Parelaphostrongylus tenuis","Rangifer tarandus"
"240",240,"Plagiorchis elegans","Procyon lotor"
"241",241,"Plagiorchis muris","Procyon lotor"
"242",242,"Plagiorhynchus cylindraceus","Didelphis virginiana"
"243",243,"Plagiorhynchus cylindraceus","Blarina brevicauda"
"244",244,"Profilicollis botulus","Enhydra lutris"
"245",245,"Protospirura numidica","Canis latrans"
"246",246,"Protospirura numidica","Peromyscus maniculatus"
"247",247,"Protospirura numidica","Peromyscus leucopus"
"248",248,"Protospirura numidica","Peromyscus gossypinus"
"249",249,"Protospirura numidica","Peromyscus crinitus"
"250",250,"Setaria cervi","Odocoileus virginianus"
"251",251,"Setaria cervi","Bison bison"
"252",252,"Setaria cervi","Antilocapra americana"
"253",253,"Setaria cervi","Cervus elaphus"
"254",254,"Setaria cervi","Odocoileus hemionus"
"255",255,"Setaria labiatopapillosa","Alces alces"
"256",256,"Setaria labiatopapillosa","Antilocapra americana"
"257",257,"Setaria labiatopapillosa","Alces alces"
"258",258,"Setaria labiatopapillosa","Bison bison"
"259",259,"Spiculopteragia asymmetrica","Rangifer tarandus"
"260",260,"Spiculopteragia asymmetrica","Cervus elaphus"
"261",261,"Spirometra mansonoides","Lynx rufus"
"262",262,"Spirometra mansonoides","Urocyon cinereoargenteus"
"263",263,"Spirometra mansonoides","Ursus americanus"
"264",264,"Spirometra mansonoides","Procyon lotor"
"265",265,"Strongyloides procyonis","Procyon lotor"
"266",266,"Strongyloides stercoralis","Urocyon cinereoargenteus"
"267",267,"Taenia crassiceps","Vulpes vulpes"
"268",268,"Taenia crassiceps","Canis lupus"
"269",269,"Taenia crassiceps","Vulpes lagopus"
"270",270,"Taenia crassiceps","Microtus pennsylvanicus"
"271",271,"Taenia crassiceps","Microtus abbreviatus"
"272",272,"Taenia crassiceps","Vulpes lagopus"
"273",273,"Taenia crassiceps","Sciurus carolinensis"
"274",274,"Taenia crassiceps","Marmota monax"
"275",275,"Taenia crassiceps","Ondatra zibethicus"
"276",276,"Taenia crassiceps","Tamias striatus"
"277",277,"Taenia hydatigena","Lynx rufus"
"278",278,"Taenia hydatigena","Canis lupus"
"279",279,"Taenia hydatigena","Odocoileus virginianus"
"280",280,"Taenia hydatigena","Rangifer tarandus"
"281",281,"Taenia hydatigena","Alces alces"
"282",282,"Taenia hydatigena","Canis latrans"
"283",283,"Taenia hydatigena","Alces alces"
"284",284,"Taenia hydatigena","Cervus elaphus"
"285",285,"Taenia hydatigena","Ovibos moschatus"
"286",286,"Taenia hydatigena","Odocoileus hemionus"
"287",287,"Taenia hydatigena","Didelphis virginiana"
"288",288,"Taenia hydatigena","Oreamnos americanus"
"289",289,"Taenia hydatigena","Puma concolor"
"290",290,"Taenia hydatigena","Ovis canadensis"
"291",291,"Taenia krabbei","Canis lupus"
"292",292,"Taenia krabbei","Rangifer tarandus"
"293",293,"Taenia krabbei","Lynx rufus"
"294",294,"Taenia krabbei","Ursus americanus"
"295",295,"Taenia krabbei","Neotoma albigula"
"296",296,"Taenia krabbei","Odocoileus hemionus"
"297",297,"Taenia krabbei","Ursus arctos"
"298",298,"Taenia krabbei","Alces alces"
"299",299,"Taenia krabbei","Canis latrans"
"300",300,"Taenia laticollis","Lynx canadensis"
"301",301,"Taenia laticollis","Lynx rufus"
"302",302,"Taenia laticollis","Lepus americanus"
"303",303,"Taenia laticollis","Canis latrans"
"304",304,"Taenia martis","Gulo gulo"
"305",305,"Taenia martis","Martes americana"
"306",306,"Taenia martis","Microtus xanthognathus"
"307",307,"Taenia multiceps","Canis lupus"
"308",308,"Taenia multiceps","Puma concolor"
"309",309,"Taenia multiceps","Vulpes macrotis"
"310",310,"Taenia multiceps","Lepus townsendii"
"311",311,"Taenia multiceps","Lepus americanus"
"312",312,"Taenia multiceps","Canis latrans"
"313",313,"Taenia omissa","Odocoileus virginianus"
"314",314,"Taenia omissa","Lynx canadensis"
"315",315,"Taenia omissa","Puma concolor"
"316",316,"Taenia omissa","Odocoileus hemionus"
"317",317,"Taenia ovis","Canis lupus"
"318",318,"Taenia ovis","Puma concolor"
"319",319,"Taenia ovis","Odocoileus hemionus"
"320",320,"Taenia ovis","Antilocapra americana"
"321",321,"Taenia pisiformis","Canis latrans"
"322",322,"Taenia pisiformis","Lynx rufus"
"323",323,"Taenia pisiformis","Vulpes vulpes"
"324",324,"Taenia pisiformis","Canis lupus"
"325",325,"Taenia pisiformis","Sylvilagus audubonii"
"326",326,"Taenia pisiformis","Sylvilagus floridanus"
"327",327,"Taenia pisiformis","Urocyon cinereoargenteus"
"328",328,"Taenia pisiformis","Lepus americanus"
"329",329,"Taenia pisiformis","Sylvilagus nuttallii"
"330",330,"Taenia pisiformis","Procyon lotor"
"331",331,"Taenia pisiformis","Neotoma magister"
"332",332,"Taenia pisiformis","Peromyscus maniculatus"
"333",333,"Taenia pisiformis","Sciurus niger"
"334",334,"Taenia polyacantha","Microtus oeconomus"
"335",335,"Taenia polyacantha","Vulpes lagopus"
"336",336,"Taenia polyacantha","Vulpes lagopus"
"337",337,"Taenia serialis","Lynx canadensis"
"338",338,"Taenia serialis","Odocoileus hemionus"
"339",339,"Taenia serialis","Lepus callotis"
"340",340,"Taenia serialis","Urocyon cinereoargenteus"
"341",341,"Taenia serialis","Vulpes velox"
"342",342,"Taenia serialis","Lepus townsendii"
"343",343,"Taenia serialis","Lepus americanus"
"344",344,"Taenia serialis","Lepus californicus"
"345",345,"Taenia twitchelli","Gulo gulo"
"346",346,"Taenia twitchelli","Ondatra zibethicus"
"347",347,"Taenia twitchelli","Erethizon dorsatum"
"348",348,"Taenia twitchelli","Microtus oeconomus"
"349",349,"Taenia twitchelli","Marmota broweri"
"350",350,"Taenia twitchelli","Urocitellus columbianus"
"351",351,"Toxascaris leonina","Canis latrans"
"352",352,"Toxascaris leonina","Lynx rufus"
"353",353,"Toxascaris leonina","Vulpes vulpes"
"354",354,"Toxascaris leonina","Canis lupus"
"355",355,"Toxascaris leonina","Vulpes velox"
"356",356,"Toxascaris leonina","Puma concolor"
"357",357,"Toxascaris leonina","Lynx canadensis"
"358",358,"Toxascaris leonina","Vulpes macrotis"
"359",359,"Toxascaris leonina","Vulpes lagopus"
"360",360,"Toxascaris leonina","Taxidea taxus"
"361",361,"Toxascaris leonina","Urocyon cinereoargenteus"
"362",362,"Toxascaris leonina","Ursus americanus"
"363",363,"Toxascaris leonina","Microtus oeconomus"
"364",364,"Toxascaris leonina","Leopardus pardalis"
"365",365,"Toxascaris leonina","Antilocapra americana"
"366",366,"Toxascaris leonina","Procyon lotor"
"367",367,"Toxocara cati","Lynx rufus"
"368",368,"Toxocara cati","Puma concolor"
"369",369,"Toxocara cati","Lynx canadensis"
"370",370,"Toxocara cati","Vulpes macrotis"
"371",371,"Toxocara cati","Urocyon cinereoargenteus"
"372",372,"Trichostrongylus axei","Cervus elaphus"
"373",373,"Trichostrongylus axei","Marmota monax"
"374",374,"Trichostrongylus axei","Odocoileus hemionus"
"375",375,"Trichostrongylus axei","Odocoileus virginianus"
"376",376,"Trichostrongylus axei","Bison bison"
"377",377,"Trichostrongylus axei","Rangifer tarandus"
"378",378,"Trichuris discolor","Antilocapra americana"
"379",379,"Trichuris discolor","Odocoileus virginianus"
"380",380,"Trichuris discolor","Odocoileus hemionus"
"381",381,"Trichuris discolor","Ovis canadensis"
"382",382,"Trichuris ovis","Odocoileus virginianus"
"383",383,"Trichuris ovis","Rangifer tarandus"
"384",384,"Trichuris ovis","Oreamnos americanus"
"385",385,"Trichuris ovis","Cervus elaphus"
"386",386,"Trichuris vulpis","Canis latrans"
"387",387,"Trichuris vulpis","Urocyon cinereoargenteus"
"388",388,"Troglostrongylus wilsoni","Lynx rufus"
