"","Group","HostReportedName","HostCorrectedName","HostOrder","HostFamily","HostEnvironment","ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","ParType","ParPhylum","ParClass","Citation","LocationName","Longitude","Latitude","PopulationType","SamplingBasis","SampleNotes","Prevalence","HostsSampled","HostSex","HostAge","Intensity","IntensityMeasure","NativeRange","NumSamples","SamplingType"
"11512","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Sidorovich and Anisimova 1997","Belarus",27.95,53.71,"WN","Animals","Tissue",0.16,25,"All","All","",NA,"Yes",25,"DirectOther"
"11513","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Sidorovich and Anisimova 1997","Lovat River, Belarus",28.06,53.55,"WN","Animals","Tissue",0.15,41,"All","All","",NA,"Yes",41,"DirectOther"
"11514","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Sidorovich and Anisimova 1997","Svisloch River, Belarus",27.55,53.91,"WN","Animals","Tissue",0.41,42,"All","All","",NA,"Yes",42,"DirectOther"
"11515","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Torres et al. 2006","Alava, SPAIN",-2.7,42.91,"WN","Animals","OR skull necropsy",0.087,46,NA,NA,"",NA,"No",92,"DirectFecal"
"11516","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Torres et al. 2006","Barcelona and Girona, SPAIN",2.17,41.39,"WN","Animals","OR skull necropsy",0.034,58,NA,NA,"",NA,"No",116,"DirectFecal"
"11517","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Torres et al. 2006","Burgos, Spain",-3.7,42.34,"WN","Animals","OR skull necropsy",0.005,183,NA,NA,"",NA,"No",366,"DirectFecal"
"11518","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Torres et al. 2006","Castellion and Teruel, SPAIN",-1.11,40.33,"WN","Animals","OR skull necropsy",NA,NA,NA,NA,"",NA,"No",NA,"DirectFecal"
"11519","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Torres et al. 2006","Spain",-3.75,40.46,"WN","Animals","Skull necropsy",0.015,337,"All",NA,"",NA,"No",337,"DirectOther"
"11520","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Torres et al. 2006","Spain",-3.75,40.46,"WN","Animals",NA,0.006,337,"All",NA,"",NA,"No",337,"DirectFecal"
"11521","carnivores","Neovison vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Skrjabingylus nasicola","Skrjabingylus nasicola","yes","Helminth","Nematoda","Secernentea","Torres et al. 2008","Southwestern France",2.21,46.23,"WN","Animals",NA,0.417,42,NA,NA,"1.47","ParasiteCount","No",42,"DirectOther"
"11527","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Spirometra erinacei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2001b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.1,50,NA,NA,"",NA,"No",50,"DirectOther"
"11528","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Spirometra erinacei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Sidorovich and Anisimova 1997","Belarus",27.95,53.71,"WN","Animals","Tissue",0.54,24,"All","All","",NA,"Yes",24,"DirectOther"
"11529","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Spirometra erinacei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Sidorovich and Anisimova 1997","Lovat River, Belarus",28.06,53.55,"WN","Animals","Tissue",0.42,41,"All","All","",NA,"Yes",41,"DirectOther"
"11530","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Spirometra erinacei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Sidorovich and Anisimova 1997","Svisloch River, Belarus",27.55,53.91,"WN","Animals","Tissue",0.93,46,"All","All","",NA,"Yes",46,"DirectOther"
"11546","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Troglotrema acutum","Troglotrema acutum","yes","Helminth","Platyhelminthes","Trematoda","Miquel et al. 2006","Southwestern France",2.21,46.23,"WN","Animals","nasolacrimal sinuses",1,1,"Female",NA,"",NA,"Yes",1,"DirectOther"
"11547","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Troglotrema acutum","Troglotrema acutum","yes","Helminth","Platyhelminthes","Trematoda","Torres et al. 2006","Alava, SPAIN",-2.7,42.91,"WN","Animals","OR skull necropsy",0.304,46,NA,NA,"",NA,"No",92,"DirectFecal"
"11548","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Troglotrema acutum","Troglotrema acutum","yes","Helminth","Platyhelminthes","Trematoda","Torres et al. 2006","Castellion and Teruel, SPAIN",-1.11,40.33,"WN","Animals","OR skull necropsy",NA,NA,NA,NA,"",NA,"No",NA,"DirectFecal"
"11549","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Troglotrema acutum","Troglotrema acutum","yes","Helminth","Platyhelminthes","Trematoda","Torres et al. 2006","Spain",-3.75,40.46,"WN","Animals","Skull necropsy",0.036,337,"All",NA,"",NA,"No",337,"DirectOther"
"11550","carnivores","Mustela vision","Neovison vison","Carnivora","Mustelidae","terrestrial","Troglotrema acutum","Troglotrema acutum","yes","Helminth","Platyhelminthes","Trematoda","Torres et al. 2006","Spain",-3.75,40.46,"WN","Animals",NA,0.042,337,"All",NA,"",NA,"No",337,"DirectFecal"
"11551","carnivores","Neovison vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Troglotrema acutum","Troglotrema acutum","yes","Helminth","Platyhelminthes","Trematoda","Torres et al. 2008","Southwestern France",2.21,46.23,"WN","Animals",NA,0.333,42,NA,NA,"12.9","ParasiteCount","No",42,"DirectOther"
"11552","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","taenia tenuicollis","Versteria mustelae","yes","Helminth","Platyhelminthes","Cestoda","Senger et al. 1955","Portland, Oregon",-122.68,45.52,"WN","Animals",NA,0.18,11,NA,NA,"",NA,"Yes",11,NA
"11553","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Taenia mustelae","Versteria mustelae","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2001b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.04,50,NA,NA,"4","ParasiteCount","No",50,"DirectOther"
"11554","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Taenia mustellae","Versteria mustelae","yes","Helminth","Platyhelminthes","Cestoda","Sidorovich and Anisimova 1997","Belarus",27.95,53.71,"WN","Animals","Tissue",0.05,22,"All","All","",NA,"Yes",22,"DirectOther"
"11555","carnivores","Mustela vison","Neovison vison","Carnivora","Mustelidae","terrestrial","Taenia mustellae","Versteria mustelae","yes","Helminth","Platyhelminthes","Cestoda","Sidorovich and Anisimova 1997","Svisloch River, Belarus",27.55,53.91,"WN","Animals","Tissue",0.17,12,"All","All","",NA,"Yes",12,"DirectOther"
"11932","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Alaria alata","Alaria alata","yes","Helminth","Platyhelminthes","Trematoda","Machnicka et al. 2003","Poland",19.4,52.12,"WN","Animals",NA,0.44,25,NA,NA,"",NA,"Yes",25,"DirectOther"
"11933","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Alaria alata","Alaria alata","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.47,78,NA,NA,"",NA,"Yes",78,NA
"11934","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Alaria alata","Alaria alata","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Samples","Tissue",0.508,NA,NA,NA,"",NA,"No",179,"DirectFecal"
"11935","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Alaria alata","Alaria alata","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.474,78,NA,NA,"",NA,"No",78,"DirectOther"
"11936","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Ancylostoma caninum","Ancylostoma caninum","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.01,78,NA,NA,"",NA,"Yes",78,NA
"11937","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Ancylostoma caninum","Ancylostoma caninum","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.013,78,NA,NA,"3","ParasiteCount","No",78,"DirectOther"
"11943","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Aonchotheca putorii","Aonchotheca putorii","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.05,78,NA,NA,"",NA,"Yes",78,NA
"11944","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Aonchotheca putorii","Aonchotheca putorii","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.051,78,NA,NA,"",NA,"No",78,"DirectOther"
"11945","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Rossicotrema donicum","Apophallus donicus","yes","Helminth","Platyhelminthes","Trematoda","Ivanov 2008","Volga Delta",47.85,46.73,"WN","Animals",NA,0.088,48,NA,NA,"17.05","ParasiteCount","No",48,"DirectOther"
"11946","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Apophallus muehlingi","Apophallus muehlingi","yes","Helminth","Platyhelminthes","Trematoda","Ivanov 2008","Volga Delta",47.85,46.73,"WN","Animals",NA,0.322,48,NA,NA,"15.07","ParasiteCount","No",48,"DirectOther"
"11955","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Pearsonema plica","Capillaria plica","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.15,78,NA,NA,"",NA,"Yes",78,NA
"11956","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Pearsonema plica","Capillaria plica","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.154,78,NA,NA,"",NA,"No",78,"DirectOther"
"11958","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Crenosoma vulpis","Crenosoma vulpis","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.05,78,NA,NA,"",NA,"Yes",78,NA
"11959","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Crenosoma vulpis","Crenosoma vulpis","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.051,78,NA,NA,"",NA,"No",78,"DirectOther"
"11963","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Dirofilaria immitis","Dirofilaria immitis","yes","Helminth","Nematoda","Secernentea","Nakagaki et al. 2000","Kanagawa Prefecture, JAPAN",139.34,35.42,"WN","Animals","Worms removed during necropsy",0.16,46,NA,NA,"",NA,"Yes",46,"DirectOther"
"11964","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Dirofilaria immitis","Dirofilaria immitis","yes","Helminth","Nematoda","Secernentea","Nakagaki et al. 2000","Nishi-Tama, Tokyo",139.45,35.71,"WN","Animals","Worms removed during necropsy",0.06,29,NA,NA,"",NA,"Yes",29,"DirectOther"
"11965","carnivores","Nyctereutes procyonoides viverrinus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Dirofilaria immitis","Dirofilaria immitis","yes","Helminth","Nematoda","Secernentea","Sato et al. 2006c","Yakushima Island, JAPAN",130.51,30.34,"WN","Animals",NA,0.111,9,"All",NA,"3","ParasiteCount","No",9,"DirectOther"
"11967","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Echinococcus multilocularis","Echinococcus multilocularis","yes","Helminth","Platyhelminthes","Cestoda","Machnicka et al. 2003","Poland",19.4,52.12,"WN","Animals",NA,0.08,25,NA,NA,"",NA,"Yes",25,"DirectOther"
"11968","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Echinococcus multilocularis","Echinococcus multilocularis","yes","Helminth","Platyhelminthes","Cestoda","Machnicka et al. 2003","Poland",19.4,52.12,"WN","Animals","fecalELISA",0.08,25,NA,NA,"",NA,"Yes",25,"Other"
"11969","carnivores","Nyctereutes procyonoides albus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Echinococcus multilocularis","Echinococcus multilocularis","yes","Helminth","Platyhelminthes","Cestoda","Yimam et al. 2002","Otaru City, Hokkaido",140.99,43.19,"WN","Animals","Tissue",0.2,5,NA,"Adult","","ParasiteCount","Yes",5,"DirectOther"
"11970","carnivores","Nyctereutes procyonoides albus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Echinococcus multilocularis","Echinococcus multilocularis","yes","Helminth","Platyhelminthes","Cestoda","Yimam et al. 2002","Otaru City, Hokkaido",140.99,43.19,"WN","Animals","Tissue",0.231,13,"All","All","505","ParasiteCount","Yes",13,"DirectOther"
"11971","carnivores","Nyctereutes procyonoides albus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Echinococcus multilocularis","Echinococcus multilocularis","yes","Helminth","Platyhelminthes","Cestoda","Yimam et al. 2002","Otaru City, Hokkaido",140.99,43.19,"WN","Animals","Tissue",0.25,8,"All","Juvenile","","ParasiteCount","Yes",8,"DirectOther"
"11972","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Echinoparyphium recurvatus","Echinoparyphium recurvatum","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 1999a","Aomori & Akita Prefectures",140.75,40.82,"WN","Animals","Tissue",0.15,20,NA,NA,"",NA,"Yes",20,"DirectOther"
"11973","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Echinoparyphium recurvatus","Echinoparyphium recurvatum","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 1999b","NW Tohoku Region, Japan",141.26,40.73,"WN","Animals","small intestine",0.07,14,NA,NA,"",NA,"Yes",14,"DirectOther"
"11975","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Eucoleus aerophilus","Eucoleus aerophilus","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.09,78,NA,NA,"",NA,"Yes",78,NA
"11976","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Eucoleus aerophilus","Eucoleus aerophilus","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.09,78,NA,NA,"",NA,"No",78,"DirectOther"
"12008","carnivores","Nyctereutes procyonoides viverrinus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Maritrema eroliae","Maritrema eroliae","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 2006d","Yakushima Island, JAPAN",130.51,30.34,"WN","Animals",NA,0.222,9,"All",NA,"13","ParasiteCount","No",9,"DirectOther"
"12011","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Mezocestaides lineatus","Mesocestoides lineatus","yes","Helminth","Platyhelminthes","Cestoda","Machnicka et al. 2003","Poland",19.4,52.12,"WN","Animals",NA,0.44,25,NA,NA,"",NA,"Yes",25,"DirectOther"
"12012","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Mesocestoides lineatus","Mesocestoides lineatus","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.03,78,NA,NA,"",NA,"Yes",78,NA
"12013","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Mesocestoides lineatus","Mesocestoides lineatus","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.026,78,NA,NA,"2","ParasiteCount","No",78,"DirectOther"
"12016","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Metagonimus takahashii","Metagonimus takahashii","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 1999a","Aomori & Akita Prefectures",140.75,40.82,"WN","Animals","Tissue",0.1,20,NA,NA,"",NA,"Yes",20,"DirectOther"
"12017","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Metagonimus takahashii","Metagonimus takahashii","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 1999b","NW Tohoku Region, Japan",141.26,40.73,"WN","Animals","small intestine",0.07,14,NA,NA,"",NA,"Yes",14,"DirectOther"
"12018","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Metagonimus yokogawai","Metagonimus yokogawai","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 1999a","Aomori & Akita Prefectures",140.75,40.82,"WN","Animals","Tissue",0.05,20,NA,NA,"",NA,"Yes",20,"DirectOther"
"12019","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Metagonimus yokogawai","Metagonimus yokogawai","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 1999b","NW Tohoku Region, Japan",141.26,40.73,"WN","Animals","small intestine",0.07,14,NA,NA,"",NA,"Yes",14,"DirectOther"
"12020","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Metorchis bilis","Metorchis bilis","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.03,78,NA,NA,"",NA,"Yes",78,NA
"12021","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Metorchis bilis","Metorchis bilis","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.026,78,NA,NA,"2.5","ParasiteCount","No",78,"DirectOther"
"12043","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Opisthorchis felineus","Opisthorchis felineus","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.04,78,NA,NA,"",NA,"Yes",78,NA
"12044","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Opisthorchis felineus","Opisthorchis felineus","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.039,78,NA,NA,"",NA,"No",78,"DirectOther"
"12045","carnivores","Nyctereutes procyonoides viverrinus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Paragonimus westermani","Paragonimus westermani","yes","Helminth","Platyhelminthes","Trematoda","Sato et al. 2006d","Yakushima Island, JAPAN",130.51,30.34,"WN","Animals",NA,0.111,9,"All",NA,"1","ParasiteCount","No",9,"DirectOther"
"12048","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Pseudamphistomum truncatum","Pseudamphistomum truncatum","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.01,78,NA,NA,"",NA,"Yes",78,NA
"12049","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Pseudamphistomum truncatum","Pseudamphistomum truncatum","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.013,78,NA,NA,"4","ParasiteCount","No",78,"DirectOther"
"12062","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Spirometra erinaceieuropaei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Sato et al. 1999a","Aomori & Akita Prefectures",140.75,40.82,"WN","Animals","Tissue",0.05,20,NA,NA,"",NA,"Yes",20,"DirectOther"
"12063","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Spirometra erinaceieuropaei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Sato et al. 1999b","NW Tohoku Region, Japan",141.26,40.73,"WN","Animals","small intestine",0.07,14,NA,NA,"",NA,"Yes",14,"DirectOther"
"12064","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Spirometra erinacei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.03,78,NA,NA,"",NA,"Yes",78,NA
"12065","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Spirometra erinacei","Spirometra erinaceieuropaei","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.026,78,NA,NA,"4","ParasiteCount","No",78,"DirectOther"
"12068","carnivores","Nyctereutes procyonoides viverrinus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Strongyloides planiceps","Strongyloides planiceps","yes","Helminth","Nematoda","Secernentea","Sato et al. 2006c","Yakushima Island, JAPAN",130.51,30.34,"WN","Animals",NA,0.333,9,"All",NA,"","ParasiteCount","No",9,"DirectOther"
"12069","carnivores","Nyctereutes procyonoides viverrinus","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Strongyloides planiceps","Strongyloides planiceps","yes","Helminth","Nematoda","Secernentea","Sato et al. 2006c","Yakushima Island, JAPAN",130.51,30.34,"WN","Animals",NA,0.25,4,NA,NA,"","ParasiteCount","No",4,"DirectOther"
"12070","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia crassiceps","Taenia crassiceps","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.05,78,NA,NA,"",NA,"Yes",78,NA
"12071","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia crassiceps","Taenia crassiceps","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.051,78,NA,NA,"",NA,"No",78,"DirectOther"
"12072","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia hydatigena","Taenia hydatigena","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.04,78,NA,NA,"",NA,"Yes",78,NA
"12073","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia hydatigena","Taenia hydatigena","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.039,78,NA,NA,"",NA,"No",78,"DirectOther"
"12074","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia pisiformis","Taenia pisiformis","yes","Helminth","Platyhelminthes","Cestoda","Sato et al. 1999a","Aomori & Akita Prefectures",140.75,40.82,"WN","Animals","Tissue",0.1,20,NA,NA,"",NA,"Yes",20,"DirectOther"
"12075","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia pisiformis","Taenia pisiformis","yes","Helminth","Platyhelminthes","Cestoda","Sato et al. 1999b","NW Tohoku Region, Japan",141.26,40.73,"WN","Animals","small intestine",0.07,14,NA,NA,"",NA,"Yes",14,"DirectOther"
"12076","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia pisiformis","Taenia pisiformis","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.09,78,NA,NA,"",NA,"Yes",78,NA
"12077","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia pisiformis","Taenia pisiformis","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.09,78,NA,NA,"",NA,"No",78,"DirectOther"
"12078","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia polyacantha","Taenia polyacantha","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.14,78,NA,NA,"",NA,"Yes",78,NA
"12079","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Taenia polyacantha","Taenia polyacantha","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2002b","Belarus",27.95,53.71,"WN","Animals","Tissue",0.141,78,NA,NA,"",NA,"No",78,"DirectOther"
"12082","carnivores","Nyctereutes procyonoides","Nyctereutes procyonoides","Carnivora","Canidae","terrestrial","Toxascaris leonina","Toxascaris leonina","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2002","Belarus",27.95,53.71,"WN","Animals",NA,0.1,78,NA,NA,"",NA,"Yes",78,NA
